wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3   10    8   0.0310474109   0.0002233347
   -3   -3   -3   10    9   0.0308474212   0.0002242251
   -3   -3   -3   10   10   0.0310708187   0.0002233557
   -3   -3   -2    1    1   0.0780669607   0.0003187681
   -3   -3   -2    1    2   0.0778392957   0.0003183568
   -3   -3   -2    1    3   0.0779769536   0.0003166024
   -3   -3   -2    1    4   0.0778389713   0.0003184040
   -3   -3   -2    1    5   0.0783292034   0.0003173049
   -3   -3   -2    1    6   0.1322989668  -0.0001635291
   -3   -3   -2    1    7   0.1319823163  -0.0001622248
   -3   -3   -2    1    8   0.1321009090  -0.0001618422
   -3   -3   -2    1    9   0.1319842226  -0.0001622896
   -3   -3   -2    1   10   0.1326815406  -0.0001647062
   -3   -3   -2    2    1   0.0778390045   0.0003184931
   -3   -3   -2    2    2   0.0775966787   0.0003181272
   -3   -3   -2    2    3   0.0777442812   0.0003164086
   -3   -3   -2    2    4   0.0776137396   0.0003182580
   -3   -3   -2    2    5   0.0781003885   0.0003169744
   -3   -3   -2    2    6   0.1319832892  -0.0001623099
   -3   -3   -2    2    7   0.1316334683  -0.0001609111
   -3   -3   -2    2    8   0.1317831245  -0.0001604384
   -3   -3   -2    2    9   0.1316527969  -0.0001610722
   -3   -3   -2    2   10   0.1323858839  -0.0001634165
   -3   -3   -2    3    1   0.0779769823   0.0003167074
   -3   -3   -2    3    2   0.0777445455   0.0003164503
   -3   -3   -2    3    3   0.0778770513   0.0003146815
   -3   -3   -2    3    4   0.0777441997   0.0003164358
   -3   -3   -2    3    5   0.0782337328   0.0003151344
   -3   -3   -2    3    6   0.1321035827  -0.0001618996
   -3   -3   -2    3    7   0.1317847886  -0.0001604146
   -3   -3   -2    3    8   0.1319397558  -0.0001598026
